Team1Agent1,Team1Agent2,Team1Agent3,Team1Agent4,Team1Agent5,Team2Agent1,Team2Agent2,Team2Agent3,Team2Agent4,Team2Agent5,Map,Victory
raze,cypher,sage,breach,astra,raze,astra,cypher,sage,breach,Split,Team 2
viper,jett,cypher,sova,skye,jett,cypher,viper,skye,sova,Breeze,Team 1
viper,sova,killjoy,sage,jett,jett,reyna,viper,sage,sova,Icebox,Team 1
jett,astra,skye,cypher,kayo,kayo,jett,astra,cypher,sova,Haven,Team 1
cypher,astra,jett,breach,skye,astra,breach,reyna,jett,cypher,Fracture,Team 1
killjoy,jett,astra,raze,sova,jett,killjoy,astra,sova,skye,Ascent,Team 2
sova,skye,killjoy,astra,jett,kayo,jett,killjoy,astra,sova,Ascent,Team 2
killjoy,jett,skye,astra,sova,sova,astra,cypher,breach,jett,Haven,Team 2
jett,breach,viper,skye,astra,breach,raze,astra,jett,sova,Bind,Team 2
viper,astra,raze,skye,sage,jett,sova,astra,viper,skye,Bind,Team 1
jett,sage,sova,astra,killjoy,jett,sova,killjoy,skye,astra,Ascent,Team 1
reyna,jett,skye,viper,sova,reyna,jett,sage,viper,sova,Icebox,Team 2
jett,cypher,skye,reyna,astra,jett,sova,breach,astra,cypher,Haven,Team 2
skye,sova,astra,cypher,jett,jett,viper,astra,cypher,skye,Haven,Team 1
skye,jett,sova,astra,cypher,cypher,sova,breach,jett,astra,Ascent,Team 2
raze,astra,cypher,reyna,viper,skye,sage,jett,viper,astra,Split,Team 1
jett,sage,killjoy,viper,sova,raze,viper,jett,sage,sova,Icebox,Team 1
killjoy,raze,sage,astra,skye,raze,sage,breach,cypher,astra,Split,Team 2
jett,astra,skye,sova,killjoy,killjoy,kayo,raze,jett,astra,Ascent,Team 1
jett,reyna,viper,sova,sage,reyna,jett,sova,killjoy,viper,Icebox,Team 1
jett,sova,viper,cypher,skye,viper,skye,sova,cypher,jett,Breeze,Team 2
jett,viper,breach,sage,cypher,breach,jett,viper,cypher,astra,Fracture,Team 2
jett,breach,sage,cypher,astra,raze,breach,astra,sage,killjoy,Split,Team 2
sova,astra,skye,raze,killjoy,jett,astra,sova,skye,killjoy,Ascent,Team 2
viper,killjoy,jett,sova,sage,jett,killjoy,sage,viper,sova,Icebox,Team 2
viper,astra,jett,sova,skye,brimstone,skye,raze,viper,sage,Bind,Team 2
sage,jett,viper,sova,reyna,jett,raze,sage,sova,viper,Icebox,Team 2
jett,skye,sova,astra,killjoy,jett,astra,sova,killjoy,raze,Ascent,Team 2
jett,sova,killjoy,viper,sage,sova,jett,viper,sage,reyna,Icebox,Team 1
jett,astra,sova,kayo,killjoy,jett,reyna,sova,astra,killjoy,Ascent,Team 1
sage,skye,raze,astra,viper,sova,omen,reyna,jett,viper,Bind,Team 1
astra,killjoy,jett,sova,reyna,jett,reyna,astra,killjoy,sova,Ascent,Team 2
jett,reyna,sova,astra,killjoy,jett,astra,reyna,killjoy,sova,Haven,Team 1
reyna,cypher,jett,sova,astra,jett,astra,killjoy,sova,breach,Ascent,Team 2
sova,viper,skye,cypher,jett,skye,jett,sova,viper,cypher,Breeze,Team 1
jett,sova,astra,reyna,cypher,killjoy,jett,astra,breach,sova,Haven,Team 1
jett,killjoy,skye,viper,breach,reyna,killjoy,breach,brimstone,jett,Fracture,Team 1
sova,jett,skye,astra,cypher,sova,reyna,jett,cypher,astra,Haven,Team 2
jett,cypher,sova,skye,viper,jett,cypher,reyna,viper,sova,Breeze,Team 1
jett,killjoy,sova,astra,skye,sova,jett,astra,viper,sage,Ascent,Team 2
killjoy,astra,skye,jett,sova,sova,viper,jett,astra,killjoy,Haven,Team 1
reyna,jett,killjoy,astra,sage,raze,viper,sage,killjoy,astra,Split,Team 1
jett,skye,sova,astra,viper,jett,viper,raze,astra,skye,Bind,Team 2
sova,skye,jett,astra,killjoy,reyna,killjoy,jett,sova,astra,Ascent,Team 1
breach,jett,cypher,raze,astra,reyna,jett,astra,viper,killjoy,Split,Team 2
jett,killjoy,sova,sage,viper,killjoy,reyna,sova,viper,jett,Icebox,Team 1
raze,astra,killjoy,jett,viper,jett,cypher,viper,astra,skye,Split,Team 2
jett,kayo,killjoy,viper,breach,raze,viper,jett,cypher,breach,Fracture,Team 1
jett,astra,skye,killjoy,sova,phoenix,cypher,jett,astra,sova,Haven,Team 2
jett,reyna,sova,viper,sage,reyna,jett,sova,sage,viper,Icebox,Team 2
viper,jett,sage,killjoy,sova,viper,sova,kayo,jett,sage,Icebox,Team 1
jett,skye,viper,sova,astra,skye,viper,raze,astra,sova,Bind,Team 1
reyna,sova,sage,viper,jett,viper,sova,sage,jett,killjoy,Icebox,Team 2
jett,viper,skye,sova,astra,jett,viper,skye,sova,cypher,Breeze,Team 1
astra,sage,viper,sova,raze,sova,jett,skye,viper,astra,Bind,Team 1
raze,killjoy,astra,skye,sova,jett,sage,astra,sova,breach,Ascent,Team 2
killjoy,raze,sova,sage,astra,cypher,raze,breach,sova,astra,Haven,Team 2
jett,killjoy,reyna,sova,viper,sova,jett,killjoy,viper,sage,Icebox,Team 2
raze,astra,sova,killjoy,breach,cypher,sova,skye,jett,astra,Ascent,Team 2
raze,kayo,killjoy,jett,astra,skye,astra,killjoy,jett,sova,Ascent,Team 1
raze,sage,cypher,astra,breach,sage,jett,killjoy,astra,skye,Split,Team 1
jett,skye,cypher,viper,sova,jett,viper,sova,cypher,skye,Breeze,Team 2
breach,jett,killjoy,sova,astra,astra,jett,sova,phoenix,cypher,Haven,Team 1
reyna,jett,astra,breach,killjoy,jett,astra,breach,viper,cypher,Fracture,Team 1
astra,sova,killjoy,jett,skye,jett,killjoy,sova,astra,breach,Haven,Team 2
astra,sova,jett,reyna,killjoy,cypher,jett,sova,astra,breach,Haven,Team 2
jett,kayo,sova,killjoy,astra,killjoy,jett,breach,astra,sova,Ascent,Team 1
raze,jett,breach,sova,astra,viper,raze,astra,skye,kayo,Bind,Team 1
reyna,sova,jett,sage,viper,jett,viper,sage,sova,raze,Icebox,Team 2
skye,jett,sova,astra,viper,killjoy,astra,sova,raze,skye,Bind,Team 1
cypher,astra,skye,jett,breach,jett,viper,sova,killjoy,astra,Haven,Team 2
astra,sova,cypher,skye,jett,sova,jett,astra,viper,sage,Ascent,Team 2
reyna,jett,astra,killjoy,sova,killjoy,jett,sova,astra,skye,Ascent,Team 1
reyna,jett,sova,viper,sage,jett,viper,sova,killjoy,sage,Icebox,Team 1
sova,kayo,jett,viper,cypher,jett,kayo,sova,viper,cypher,Breeze,Team 2
reyna,jett,cypher,astra,sova,skye,killjoy,astra,sova,jett,Haven,Team 2
jett,cypher,sova,astra,skye,raze,skye,astra,sova,killjoy,Haven,Team 1
jett,sova,cypher,skye,astra,sova,killjoy,breach,jett,astra,Ascent,Team 1
sova,jett,sage,killjoy,astra,astra,sage,jett,killjoy,sova,Ascent,Team 1
astra,skye,sova,killjoy,jett,skye,killjoy,sova,astra,jett,Haven,Team 2
raze,killjoy,astra,skye,sage,cypher,astra,skye,raze,sage,Split,Team 1
jett,cypher,skye,viper,sova,reyna,viper,jett,cypher,sova,Breeze,Team 1
viper,brimstone,raze,skye,sage,raze,viper,breach,astra,cypher,Bind,Team 1
jett,sage,skye,killjoy,astra,omen,raze,sage,jett,killjoy,Split,Team 1
jett,killjoy,astra,skye,sova,raze,jett,omen,killjoy,sage,Ascent,Team 1
